A  ˈa
AALENIANA  ˌalenjˈana
AALENIANAS  ˌalenjˈanas
AALENIANO  ˌalenjˈano
AALENIANOS  ˌalenjˈanos
AANG  ˈaŋɡ
AARHUS  ˈarus
AARON  aɾˈon
AARÓN  ˌaaɾˈon
ABA  ˈaβa
ABABA  aβˈaβa
ABABOL  ˌaβaβˈol
ABABÁBITE  ˌaβaβˈaβite
ABACALERA  ˌaβakalˈeɾa
ABACALERO  ˌaβakalˈeɾo
ABACERO  ˌaβasˈeɾo
ABACERÍA  ˌaβaseɾˈia
ABACIADO  ˌaβasjˈaðo
ABACIAL  ˌaβasjˈal
ABACIALES  ˌaβasjˈales
ABACIATO  ˌaβasjˈato
ABACORA  ˌaβakˈoɾa
ABACORADA  ˌaβakoɾˈaða
ABACORADAS  ˌaβakoɾˈaðas
ABACORADO  ˌaβakoɾˈaðo
ABACORADOS  ˌaβakoɾˈaðos
ABACORAR  ˌaβakoɾˈaɾ
ABACORARA  ˌaβakoɾˈaɾa
ABACORARES  ˌaβakoɾˈaɾes
ABACÁ  ˌaβakˈa
ABAD  aβˈad
ABADA  aβˈaða
ABADEJO  ˌaβaðˈexo
ABADENGO  ˌaβaðˈeŋɡo
ABADERNADA  ˌaβaðeɾnˈaða
ABADERNADAS  ˌaβaðeɾnˈaðas
ABADERNADO  ˌaβaðeɾnˈaðo
ABADERNADOS  ˌaβaðeɾnˈaðos
ABADERNAR  ˌaβaðeɾnˈaɾ
ABADERNARA  ˌaβaðeɾnˈaɾa
ABADERNARES  ˌaβaðeɾnˈaɾes
ABADERNÁBAMOS  ˌaβaðeɾnˈaβamos
ABADESA  ˌaβaðˈesa
ABADIANO  ˌaβaðjˈano
ABADONAR  ˌaβaðonˈaɾ
ABADÁN  ˌaβaðˈan
ABADÍ  ˌaβaðˈi
ABADÍA  ˌaβaðˈia
ABAJA  aβˈaxa
ABAJADA  ˌaβaxˈaða
ABAJADAS  ˌaβaxˈaðas
ABAJADERO  ˌaβaxaðˈeɾo
ABAJADO  ˌaβaxˈaðo
ABAJADOS  ˌaβaxˈaðos
ABAJAR  ˌaβaxˈaɾ
ABAJARA  ˌaβaxˈaɾa
ABAJARES  ˌaβaxˈaɾes
ABAJERA  ˌaβaxˈeɾa
ABAJEÑA  ˌaβaxˈeɲa
ABAJEÑO  ˌaβaxˈeɲo
ABAJO  aβˈaxo
ABALANZADA  ˌaβalaŋsˈaða
ABALANZADAS  ˌaβalaŋsˈaðas
ABALANZADO  ˌaβalaŋsˈaðo
