$	cent
€	cent
£	penny
GBP	penny
nzd	cent
nz$	cent
sek	öre
czk	haléř
kč	haléř
crc	céntimo
₽	kopek
pln	grosz
fim	penni
dkk	öre
aed	fils
dh	fils
dhs	fils
hkd	cent
₩	jeon
rs	paisa
chf	rappen
usd	cent
usd$	cent
USD$	cent
fr	centime
kr	öre
aud	cent
au$	cent
bsd	cent
bs$	cent
bbd	cent
bds$	cent
mk	penni
¥	sen
₡	céntimo
awg	cent
nok	öre
r$	centavo
brl	centavo
esp	centimo
₧	centimo
ptas	centimo
bzd	cent
bz$	cent
bmd	cent
bd$	cent
bnd	sen
b$	sen
kyd	cent
ci$	cent
fjd	cent
fj$	cent
gyd	cent
gy$	cent
hk$	cent
jmd	cent
ja$	cent
cad	cent
c$	cent
lrd	cent
lib$	cent
nad	cent
n$	cent
sbd	cent
si$	cent
sgd	cent
srd	cent
twd	cent
nt$	cent
ttd	cent
tt$	cent
tuv$	cent
zwd	cent
z$	cent
xcd	cent
ec$	cent
krw	jeon
svc	centavo
