2	mi_pl_nom	dwa
2	mp_pl_nom	dwaj
2	f_pl_nom	dwie
2	pl_gen	dwóch
2	pl_gen	dwu
2	f_pl_ins	dwiema
2	f_pl_ins	dwoma
2	f_pl_ins	dwu
2	mi_pl_ins	dwoma
2	mi_pl_ins	dwu
2	pl_dat	dwóm
2	pl_dat	dwom
2	pl_dat	dwu
2	compound	dwu
3	mi_pl_nom	trzy
3	mp_pl_nom	trzej
3	pl_gen	trzech
3	mi_pl_ins	trzema
3	pl_dat	trzem
3	compound	trzy
4	mi_pl_nom	cztery
4	mp_pl_nom	czterej
4	pl_gen	czterech
4	mi_pl_ins	czterema
4	pl_dat	czterem
4	compound	cztero
5	mi_pl_nom	pięć
5	mp_pl_nom	pięciu
5	pl_gen	pięciu
5	mi_pl_ins	pięcioma
5	pl_dat	pięciu
5	compound	pięcio
