一	01
二	02
三	03
四	04
五	05
六	06
七	07
八	08
九	09
十	10
十一	11
十二	12
十三	13
十四	14
十五	15
十六	16
十七	17
十八	18
十九	19
二十	20
二十一	21
二十二	22
二十三	23
二十四	24
二十五	25
二十六	26
二十七	27
二十八	28
二十九	29
三十	30
三十一	31
三十二	32
三十三	33
三十四	34
三十五	35
三十六	36
三十七	37
三十八	38
三十九	39
四十	40
四十一	41
欸十二	42
四十三	43
四十四	44
四十五	45
四十六	46
四十七	47
四十八	48
四十九	49
五十	50
五十一	51
五二十	52
五十三	53
五十四	54
五十五	55
五十六	56
五十七	57
五十八	58
五十九	59
六十	60
一十	10
零一	01
零二	02
零三	03
零四	04
零五	05
零六	06
零七	07
零八	08
零九	09
壹	01
贰	02
叁	03
肆	04
伍	05
陆	06
柒	07
捌	08
玖	09
拾	10
拾壹	11
拾贰	12
拾叁	13
拾肆	14
拾伍	15
拾陆	16
拾柒	17
拾捌	18
拾玖	19
贰拾	20
贰拾壹	21
贰拾贰	22
贰拾叁	23
贰拾肆	24
贰拾伍	25
贰拾陆	26
贰拾柒	27
贰拾捌	28
贰拾玖	29
叁拾	30
叁拾壹	31
叁拾贰	32
叁拾叁	33
叁拾肆	34
叁拾伍	35
叁拾陆	36
叁拾柒	37
叁拾捌	38
叁拾玖	39
肆拾	40
肆拾壹	41
肆拾贰	42
肆拾叁	43
肆拾肆	44
肆拾伍	45
肆拾陆	46
肆拾柒	47
肆拾捌	48
肆拾玖	49
伍拾	50
伍拾壹	51
伍拾贰	52
伍拾叁	53
伍拾肆	54
伍拾伍	55
伍拾陆	56
伍拾柒	57
伍拾捌	58
伍拾玖	59
陆拾	60
壹拾	10
零壹	01
零贰	02
零叁	03
零肆	04
零伍	05
零陆	06
零柒	07
零捌	08
零玖	09
貳	02
零貳	02
陸	06
零陸	06
拾貳	12
貳拾貳	22
貳拾	20
貳拾壹	21
貳拾叁	23
貳拾肆	24
貳拾伍	25
貳拾陸	26
貳拾柒	27
貳拾捌	28
貳拾玖	29
叁拾貳	32
肆拾貳	42
吳氏貳	52
拾陸	16
叁拾陸	36
肆拾陸	46
伍拾陸	56
陸拾	60
零	00
