I	एक
II	दो
III	तीन
IV	चार
V	पाँच
VI	छह
VII	सात
VIII	आठ
IX	नौ
X	दस
XI	ग्यारह
XII	बारह
XIII	तेरह
XIV	चौदह
XV	पंद्रह
XVI	सोलह
XVII	सत्रह
XVIII	अठारह
XIX	उन्नीस
XX	बीस
XXI	इक्कीस
XXII	बाईस
XXIII	तेईस
XXIV	चौबीस
XXV	पच्चीस
XXVI	छब्बीस
XXVII	सत्ताईस
XXVIII	अट्ठाईस
XXIX	उनतीस
XXX	तीस
XXXI	इकतीस
XXXII	बत्तीस
XXXIII	तैंतीस
XXXIV	चौंतीस
XXXV	पैंतीस
XXXVI	छत्तीस
XXXVII	सैंतीस
XXXVIII	अड़तीस
XXXIX	उनचालीस
XL	चालीस
XLI	इकतालीस
XLII	बयालीस
XLIII	तैंतालीस
XLIV	चौंतालीस
XLV	पैंतालीस
XLVI	छियालीस
XLVII	सैंतालीस
XLVIII	अड़तालीस
XLIX	उनचास
L	पचास
LI	इक्यावन
LII	बावन
LIII	तिरपन
LIV	चौवन
LV	पचपन
LVI	छप्पन
LVII	सत्तावन
LVIII	अट्ठावन
LIX	उनसठ
LX	साठ
LXI	इकसठ
LXII	बासठ
LXIII	तिरसठ
LXIV	चौंसठ
LXV	पैंसठ
LXVI	छियासठ
LXVII	सड़सठ
LXVIII	अड़सठ
LXIX	उनहत्तर
LXX	सत्तर
LXXI	इकहत्तर
LXXII	बहत्तर
LXXIII	तिहत्तर
LXXIV	चौहत्तर
LXXV	पचहत्तर
LXXVI	छिहत्तर
LXXVII	सतहत्तर
LXXVIII	अठहत्तर
LXXIX	उनासी
LXXX	अस्सी
LXXXI	इक्यासी
LXXXII	बयासी
LXXXIII	तिरासी
LXXXIV	चौरासी
LXXXV	पचासी
LXXXVI	छियासी
LXXXVII	सत्तासी
LXXXVIII	अट्ठासी
LXXXIX	नवासी
XC	नब्बे
XCI	इक्यानवे
XCII	बानवे
XCIII	तिरानवे
XCIV	चौरानवे
XCV	पचानवे
XCVI	छियानवे
XCVII	सत्तानवे
XCVIII	अट्ठानवे
XCIX	निन्यानवे
C	एक सौ
