முதல்	range and ordinal word
வரை	range word
அல்லது	conjunction
மற்றும்	conjunction
என்பது	copula phrase
என்ற	relative participle
என்று	quotative
எனும்	quotative
என	quotative
ஆகும்	copula
ஆக	adverbial case
ஆகிய	relative participle
தான்	emphatic clitic
கூட	emphatic clitic
மட்டும்	emphatic clitic
விட	comparison word
விடக்	comparison word written by the spacing pre-pass
போல	comparison word
சேர்	verb in the idiom ஒன்று சேர்
புள்ளி	decimal point word
ஆம்	ordinal marker
ஆவது	ordinal marker
வது	ordinal marker
ம்	ordinal marker
ஆயிரம்	scale word read by the decimal class
லட்சம்	scale word read by the decimal class
இலட்சம்	scale word read by the decimal class
கோடி	scale word read by the decimal class
மில்லியன்	scale word read by the decimal class
பில்லியன்	scale word read by the decimal class
ட்ரில்லியன்	scale word read by the decimal class
கூட்டல்	operator word written by the spacing pre-pass
கழித்தல்	operator word
பெருக்கல்	operator word
வகுத்தல்	operator word
சமம்	operator word
மைனஸ்	sign word
பிளஸ்	sign word
இல்	case suffix
ல்	case suffix
க்கு	case suffix
ஐ	case suffix
ஆல்	case suffix
இன்	case suffix
ன்	case suffix
உடன்	case suffix
ஓடு	case suffix
கள்	plural suffix
களில்	plural suffix
உம்	clitic
