# Additional currencies are listed below.
# To use them, simply copy them to the main currency_plural_masc.tsv file.

dírham	dírhams
afgani	afganis
lek	lekë
dram armenio	dram armenios
florín antillano neerlandés	florines antillanos neerlandeses
kwanza	kwanzas
primer kwanza	primeros kwanzas
nuevo kwanza	nuevos kwanzas
kwanza reajustado	kwanzas reajustados
dólar australiano	dólares australianos
manat azerbaiyano	manat azerbaiyanos
marco convertible	marcos convertibles
dólar barbadense	dólares barbadenses
taka	taka
dinar bareiní	dinares bareinís
franco de burundi	francos de burundi
dólar bermudeño	dólares bermudeños
dólar de brunéi	dólares de brunéi
boliviano con mantenimiento de valor respecto al dólar estadounidense	bolivianos con mantenimiento de valor respecto al dólar estadounidense
dólar bahameño	dólares bahameños
ngultrum	ngultrum
rublo bielorruso	rublos bielorrusos
dólar beliceño	dólares beliceños
franco congoleño	francos congoleños
euro wir	euros wir
franco wir	francos wir
peso convertible	pesos convertibles
escudo caboverdiano	escudos caboverdianos
franco yibutiano	francos yibutianos
dinar argelino	dinares argelinos
nakfa	nakfa
birr etíope	birr etíopes
dólar fiyiano	dólares fiyianos
lari	lari
cedi ghanés	cedis ghaneses
dalasi	dalasis
franco guineano	francos guineanos
forinto	forintos
nuevo séquel israelí	nuevos séqueles israelíes
dinar iraquí	dinares iraquíes
rial iraní	riales iraníes
dólar jamaiquino	dólares jamaiquinos
dinar jordano	dinares jordanos
chelín keniano	chelines kenianos
som	som
riel	riel
franco comorense	francos comorenses
won norcoreano	wones norcoreanos
dinar kuwaití	dinares kuwaitíes
dólar de las islas caimán	dólares de las islas caimán
tenge	tenge
kip	kip
dólar liberiano	dólares liberianos
loti	maloti
dinar libio	dinares libios
dírham marroquí	dírhams marroquíes
leu moldavo	lei moldavos
ariary malgache	ariary
denar	denares
kyat	kyats
tugrik	tugrik
kwacha	kwacha
ringgit malayo	ringgit malayos
metical mozambiqueño	meticales mozambiqueños
dólar namibio	dólares namibios
naira	naira
dólar neozelandés	dólares neozelandeses
rial omaní	riales omaníes
kina	kina
peso filipino	pesos filipinos
esloti	eslotis
rial catarí	riales cataríes
leu rumano	lei rumanos
dinar serbio	dinares serbios
rublo ruso	rublos rusos
franco ruandés	francos ruandeses
rial saudí	riales saudíes
dólar de las islas salomón	dólares de las islas salomón
dólar de singapur	dólares de singapur
leone	leones
chelín somalí	chelines somalíes
dólar surinamés	dólares surinameses
libra sursudanesa	libras sursudanesas
dobra	dobras
lilangeni	emalangeni
baht	baht
somoni tayiko	somoni tayikos
manat turcomano	manat turcomanos
dinar tunecino	dinares tunecinos
paʻanga	paʻanga
nuevo dólar taiwanés	nuevos dólares taiwaneses
chelín tanzano	chelines tanzanos
chelín ugandés	chelines ugandeses
dólar estadounidense siguiente día	dólares estadounidenses siguiente día
peso uruguayo en unidades indexadas	pesos uruguayos en unidades indexadas
som uzbeko	som uzbekos
dong vietnamita	dong vietnamitas
vatu	vatu
tala	tala
franco c f a de áfrica central	francos c f a de áfrica central
plata	plata
oro	oro
dólar del caribe oriental	dólares del caribe oriental
derecho especial de giro	derechos especiales de giro
franco c f a de áfrica occidental	francos c f a de áfrica occidental
paladio	paladio
franco c f p	francos c f p
platino	platino
sistema unitario de compensación regional	sistemas unitarios de compensación regional
rial yemení	riales yemeníes
rand	rand
kwacha zambiano	kwacha zambianos
dólar zimbabuense	dólares zimbabuenses
franco andorrano	francos andorranos
kwanza angoleño	kwanzas angoleños
kwanza angoleño reajustado	kwanzas angoleños reajustados
austral argentino	australes argentinos
peso moneda corriente argentino	pesos moneda corriente argentinos
peso fuerte argentino	pesos fuertes argentinos
peso oro sellado argentino	pesos oro sellado argentinos
peso ley argentino	pesos ley argentinos
peso moneda nacional argentino	pesos moneda nacional argentinos
chelín austríaco	chelines austríacos
franco belga	francos belgas
lev búlgaro	lev búlgaros
dinar serbio	dinares serbios
marco de rda	marcos de rda
marco alemán	marcos alemanes
marco finlandés	marcos finlandeses
franco francés	francos franceses
franco luxemburgués	francos luxemburgueses
florín neerlandés	florines neerlandeses
inti	intis
esloti polaco	eslotis polacos
escudo portugués	escudos portugueses
rublo ruso	rublos rusos
tólar esloveno	tólares eslovenos
guilder surinamés	guilder surinameses
rublo de la unión soviética	rublos de la unión soviética
nuevo dinar yugoslavo	nuevos dinares yugoslavos
dinar yugoslavo	dinares yugoslavos
rand surafricano código de fondos	rands surafricanos código de fondos
nuevo zaire	nuevos zaires
zaire	zaires
kwacha zambiano	kwacha zambianos
fils	fils
pul	pul
qindarke	qindarka
luma	luma
lwei	lwei
qəpik	qəpik
centavo con mantenimiento de valor respecto al dólar estadounidense	centavos con mantenimiento de valor respecto al dólar estadounidense
chertum	chertums
thebe	thebe
kap	kopeks
haléř	haléř
santim	santim
tetri	tetri
butut	bututs
lipa	lipa
krajczár	krajczár
sen	sen
agorot	agorot
dinar	dinares
aurar	aurar
qirsh	qirsh
tiyin	tiyin
att	att
sente	lisente
ban	bani
deni	deni
mongo	mongo
avo	avos
jum	jums
laari	laari
kobo	kobo
baisa	baise
toea	toea
groszy	groszy
dirham	dirhams
öre	öre
diram	dirams
pfennig	pfennigs
kopek	kopeks
para	para
halalá	halalás
satang	satang
teňňe	teňňe
millime	millimes
seniti	seniti
kuruş	kuruş
xu	xu
sene	sene
ngwee	ngwee
heller	hellers
stotin	stotinov
