Chris	kiris
Hipkins	Hipikineze
Dexamethasone	dekisametazone
corticosteroid	koritikositeroyide
immunosuppressant	iminosupuresa
CDC	sidisi
RBC	arabisi
RISA	risa
minisante	minisante
sars	sarisi
pfizer	pifiza
BionTech	biyoniteki
dollar	dorari
ADN	ade eni
BBC	bibisi
Victoria	vikitoria
Espagne	esipanye
Nouvelle-Zélande	nuveli zerandi
lopinavir	lopinaviri
rotinavir	rotinaviri
HIV	heci ayivi
seychelles	seyisheli
maroc	maroki
sputnik	siputinike
la crosse	la korosi
paul	pawulo
www	wawawa
gov	govu
rw	rwa
http	hecititipi
Berlin	iberile
Remdesivir	remudesivire
coranavirus	koronavirusi
covid	kovide
quarantine	karantine
oms	o e mesi
basketball	basiketibalu
football	futibolu
cholera	kolera
radio	radiyo
television	televiziyo
service	serivise
prof	purofu
royal	ruyolo
college	koreji
health	ubuzima
SARS-CoV-kabiri	sarisi-kov-kabiri
recovery	rekoveri
Dr	dogiteri
protein	puroteyine
spike	sipiyike
victoria	vigitoriya
technique	tekinike
cell	selile
electro	erekitoro
sanitizer	sanitayiza
Orthocoronavirinae	oritocoronavirinaye
coronavirinae	coronavirinaye
nidovirales	nidoviralesi
Covs	covuse
antibody	antibodi
Hydroxychloroquine	hidurokulorokine
company	kompani
oxygen	ogisijeni
Carolina	karolina
jonathan	jonatani
hyper	hiperi
micro	mikoro
microscope	mikorosikope
microchip	mikorocipu
glycoproteine	gilicopuroteyine
sport	siporo
lockdown	lokidawuno
email	imeli
japan	japani
science	siyansi
pubmed	pubimedi
koica	koyika
jica	jika
DNA	diyeniyi
RNA	araneyi
wuhan	wuhani
huanan	hwanani
thermoregulation	terimoregulashiyoni
alveolar	aliviyola
hypoxemia	hipokisemiya
PCR	pisiyara
rapid-test	rapidi-tesite
sepsis	sepusisi
septique	seputike
pulmonary	pirimonari
extra	egisitura
Real	riyo
Time	tayimu
Polymerase	porimerase
poly	pori
Chain	ceyini
Reaction	reyakishoni
hypoxic	hipokisike
ICU	ayisiyu
ambulance	amburansi
antibiotic	antibiyotike
vaccine	vagisine
MEDAIR	medayire
guardian	garidiyani
covax	covagise
paris	parisi
transplant	turansipulanti
laboratoire	laboratuwari
Tedros	tewodurosi
Ghebreyesus	gebureyesusi
polybasic	poribazike
china	chinwa
RT-PCR	arati-pisiyara
UNICEF	yunicefu
HCR	hashiseyeri
UNESCO	yunesico
UN	oni
World	woridi
bank	banki
FMI	efu emi
new-york	nuyoriki
times	tayimuze
MERS	merise
electron	erekituronu
RDB	aradibi
Platelet-fibrin	puratele-fibirini
arterial	ariteriyo
coagulopathie	kowagulopati
RBD	arabidi
RDF	aradiyefu
module	modile
Oxford	ogisiforudu
AstraZeneca	asutarazeneka
Astra-Zeneca	asutarazeneka
astra	asutara
zeneca	zeneka
chlorine	kulorakine
acide	aside
peroxyacetic	perukisiyatike
chlorhexidine	kulorekidine
chloroform	kuloroforume
disinfectant	dezenkifekita
carbon	kariboni
Hopkins	hopikinze
communist	komunisite
Tanzania	tanzaniya
Africa	afurika
VOA	vi o aye
Jean	yohana
Marie	mariya
Vianney	viyane
chimiotherapie	kimyoterapi
sinopharm	sinofarume
bus	busi
ventilator	ventirata
ventilators	ventirataze
mRNA	emu araneyi
Favipiravir	favipiravire
command	komandi
center	santire
app	apu
phone	fone
telephone	terefone
clinical	kiliniko
clinique	kilinike
lymphocytes	lemfosite
twitter	tuwita
youtube	yutubi
facebook	fasibuki
google	gugoli
com	komu
Antibodies	antibodize
COVID-CUMI	kovide-cumi
COVID-CUMI-N'ICYENDA	kovide-cumi-n'icyenda
